userId,movieId,rating,timestamp
464,2986,2.5,1275547958
307,2161,2.5,1186162276
606,111,3.5,1171831405
307,3252,3.0,1186163099
409,2706,4.0,968978055
608,1760,0.5,1117506736
89,177185,4.5,1520409502
355,2951,4.0,974965307
151,852,4.0,855947434
462,88744,4.0,1502594915
307,8368,3.0,1186162492
330,1358,5.0,1285904543
585,296,5.0,1307418531
448,5420,2.0,1084800144
509,35836,1.5,1436101812
105,50872,4.0,1446573385
474,3040,1.0,1047055282
307,785,2.5,1186162126
305,899,4.5,1490211290
380,1261,5.0,1494803890
468,344,3.0,831400427
332,4011,4.0,1352671778
105,8533,3.5,1466024353
61,4011,4.5,1145532610
504,186,3.0,1063644456
325,593,5.0,1039396077
182,858,4.5,1054781812
448,79134,3.5,1327255410
573,39446,4.0,1186589258
330,377,0.5,1285904976
369,1625,4.5,1237082077
420,2329,4.0,1218037116
21,78499,4.0,1412968153
567,4993,3.0,1525287066
290,34,4.0,974942304
41,50872,4.0,1458939664
352,3578,4.0,1493673483
54,590,3.0,830247106
392,2858,4.0,1027524262
357,1101,4.0,1348612212
274,27831,4.0,1197014874
514,1610,4.5,1533872420
489,952,4.5,1333831047
213,2162,3.5,1316195159
64,1391,3.5,1161521644
474,5434,3.5,1055769594
307,4915,2.0,1186086038
200,1894,1.0,1229889198
411,448,4.0,835533637
288,4492,3.0,1050510833
580,4963,4.0,1167791407
28,1092,2.5,1242290949
156,1589,3.0,1106854059
20,4449,2.0,1054037667
39,2912,4.0,974789632
42,2987,4.0,996262677
590,552,3.0,1258421379
198,4776,4.0,1034137213
540,4239,4.0,1179107949
140,4369,3.0,1013599592
457,2572,4.0,993610838
212,8957,2.5,1523216657
82,3624,4.0,1084467450
606,2942,3.0,1171926932
378,33794,4.5,1445347578
186,1931,5.0,1031087825
483,6711,4.5,1327277192
517,480,1.0,1487962661
249,102033,3.5,1381418002
265,2455,2.0,965315073
182,3916,3.0,1055157592
527,1663,4.0,1033175310
466,74458,4.5,1439916017
32,1080,3.0,856737165
357,1269,4.5,1348610926
608,4638,3.0,1117408543
221,1288,4.5,1119984109
577,1233,3.0,945966674
64,1060,3.5,1161565798
